sample,id
Con0,Con0_CKDL200167803-1a-SI_GA_D3_HNNKFDSXY
Con10,Con10_CKDL200167809-1a-SI_GA_A7_HNNKFDSXY
Con14,Con14_CKDL200167811-1a-SI_GA_A9_HNNKFDSXY
Con2,Con2_CKDL210000544-1a-SI_GA_B6_HNNKFDSXY
Con30,Con30_CKDL200167813-1a-SI_GA_A11_HNNKFDSXY
Con5,Con5_CKDL200167807-1a-SI_GA_A3_HNNKFDSXY
N1KO0,N1KO0_CKDL200167804-1a-SI_GA_E3_HNNKFDSXY
N1KO10,N1KO10_CKDL200167810-1a-SI_GA_A8_HNNKFDSXY
N1KO14,N1KO14_CKDL200167812-1a-SI_GA_A10_HNNKFDSXY
N1KO2,N1KO2_CKDL210000545-1a-SI_GA_B7_HNNKFDSXY
N1KO30,N1KO30_CKDL200167814-1a-SI_GA_A12_HNNKFDSXY
N1KO5,N1KO5_CKDL200167808-1a-SI_GA_A4_HNNKFDSXY
